run,id,freq,s11,s12,x,y,z,note
1,151,5750000000,-9.43826675415039,-37.6146278381348,4.49999999999999,0,0,2023_05_11_02 -
1,151,5791666666.66667,-13.6879405975342,-36.3161239624023,4.49999999999999,0,0,2023_05_11_02 -
1,151,5833333333.33333,-5.3079891204834,-38.6681518554688,4.49999999999999,0,0,2023_05_11_02 -
1,151,5875000000,-4.98781490325928,-38.5102043151855,4.49999999999999,0,0,2023_05_11_02 -
1,151,5916666666.66667,-9.15150547027588,-37.9725875854492,4.49999999999999,0,0,2023_05_11_02 -
1,151,5958333333.33333,-12.0490942001343,-38.4612998962402,4.49999999999999,0,0,2023_05_11_02 -
1,151,6000000000,-6.45336818695068,-38.3510360717773,4.49999999999999,0,0,2023_05_11_02 -
1,152,1000000000,-1.15448129177094,-64.4556121826172,4.52999999999999,0,0,2023_05_11_02 -
1,152,1041666666.66667,-1.48051202297211,-64.9598770141602,4.52999999999999,0,0,2023_05_11_02 -
1,152,1083333333.33333,-1.52454447746277,-76.5920333862305,4.52999999999999,0,0,2023_05_11_02 -
1,152,1125000000,-1.28257036209106,-74.1347503662109,4.52999999999999,0,0,2023_05_11_02 -
1,152,1166666666.66667,-1.36214017868042,-64.1240310668945,4.52999999999999,0,0,2023_05_11_02 -
1,152,1208333333.33333,-1.74195218086243,-66.5836410522461,4.52999999999999,0,0,2023_05_11_02 -
1,152,1250000000,-1.76943230628967,-69.769157409668,4.52999999999999,0,0,2023_05_11_02 -
1,152,1291666666.66667,-3.15680909156799,-47.4014625549316,4.52999999999999,0,0,2023_05_11_02 -
1,152,1333333333.33333,-1.98731124401093,-48.1395225524902,4.52999999999999,0,0,2023_05_11_02 -
1,152,1375000000,-4.97746753692627,-40.0656967163086,4.52999999999999,0,0,2023_05_11_02 -
1,152,1416666666.66667,-3.59325003623962,-40.0559387207031,4.52999999999999,0,0,2023_05_11_02 -
1,152,1458333333.33333,-1.84814524650574,-43.3153648376465,4.52999999999999,0,0,2023_05_11_02 -
1,152,1500000000,-2.17778038978577,-41.7791442871094,4.52999999999999,0,0,2023_05_11_02 -
1,152,1541666666.66667,-3.52234578132629,-36.817943572998,4.52999999999999,0,0,2023_05_11_02 -
1,152,1583333333.33333,-13.1219730377197,-31.9829978942871,4.52999999999999,0,0,2023_05_11_02 -
1,152,1625000000,-3.18668699264526,-36.1013450622559,4.52999999999999,0,0,2023_05_11_02 -
1,152,1666666666.66667,-2.19328045845032,-37.9628829956055,4.52999999999999,0,0,2023_05_11_02 -
1,152,1708333333.33333,-2.39472150802612,-38.9474906921387,4.52999999999999,0,0,2023_05_11_02 -
1,152,1750000000,-2.29471850395203,-38.8747367858887,4.52999999999999,0,0,2023_05_11_02 -
1,152,1791666666.66667,-2.45163774490356,-36.0551452636719,4.52999999999999,0,0,2023_05_11_02 -
1,152,1833333333.33333,-4.74188470840454,-32.7803840637207,4.52999999999999,0,0,2023_05_11_02 -
1,152,1875000000,-8.50544261932373,-30.6611042022705,4.52999999999999,0,0,2023_05_11_02 -
1,152,1916666666.66667,-5.24211263656616,-31.9852313995361,4.52999999999999,0,0,2023_05_11_02 -
1,152,1958333333.33333,-3.05564475059509,-36.1950340270996,4.52999999999999,0,0,2023_05_11_02 -
1,152,2000000000,-2.26195883750916,-38.3167114257813,4.52999999999999,0,0,2023_05_11_02 -
1,152,2041666666.66667,-2.46852087974548,-38.4770393371582,4.52999999999999,0,0,2023_05_11_02 -
1,152,2083333333.33333,-2.78185892105103,-39.1844711303711,4.52999999999999,0,0,2023_05_11_02 -
1,152,2125000000,-2.40868210792542,-39.1853294372559,4.52999999999999,0,0,2023_05_11_02 -
1,152,2166666666.66667,-2.37253594398499,-38.8725280761719,4.52999999999999,0,0,2023_05_11_02 -
1,152,2208333333.33333,-3.56866717338562,-38.4211654663086,4.52999999999999,0,0,2023_05_11_02 -
1,152,2250000000,-5.08620977401733,-37.0249977111816,4.52999999999999,0,0,2023_05_11_02 -
1,152,2291666666.66667,-7.03442859649658,-35.7606239318848,4.52999999999999,0,0,2023_05_11_02 -
1,152,2333333333.33333,-8.68989086151123,-37.3532180786133,4.52999999999999,0,0,2023_05_11_02 -
